state,group,grade,sub,vgap,vgapse,sesgap,resid,incV,edV,unemprat,povrat,enrl,fips,y1sesgap,y2sesgap,x1sesgap,x2sesgap,y1incV,y2incV,x1incV,x2incV,y1edV,y2edV,x1edV,x2edV,vgapse2,seweight,y1unemprat,y2unemprat,x1unemprat,x2unemprat,y1povrat,y2povrat,x1povrat,x2povrat
"DC","hsp",8,"math",1.63,.0861,1.115238,.2491273,1.446821,2.154834,5.699751,5.227718,489.0833,"District of Columbia",.167,1.867,-.1,1.6,-.2876797,1.450589,-1,2,.147586,1.40787,-.5,2.5,.0074149,134.8632,.6211048,1.476643,0,10,.319176,1.891673,0,11
"DC","hsp",8,"read",1.37,.0768,1.21386,.0742843,1.446821,2.154834,5.699751,5.227718,489.0833,"District of Columbia",-.022,1.678,-.1,1.6,-.4886567,1.399311,-1,2,-.0144324,1.348337,-.5,2.5,.005897,169.5777,.5188523,1.316976,0,10,.2017192,1.800016,0,11
"FL","blk",4,"math",.976,.0269,.3740435,-.0042755,.858373,.7130804,2.486663,3.172801,46498.5,"Florida",.507,2.207,-.1,1.6,.2297721,1.420677,-1,2,.4695542,1.851122,-.5,2.5,.000722,1385.001,.85237,1.368426,0,10,.6289541,1.821329,0,11
"FL","blk",4,"read",.829,.0312,.3058603,.045494,.858373,.7130804,2.486663,3.172801,46498.5,"Florida",.378,2.078,-.1,1.6,.1815398,1.155946,-1,2,.3938085,1.484521,-.5,2.5,.0009738,1026.945,.6717991,1.181764,0,10,.5082991,1.483623,0,11
"FL","hsp",4,"math",.514,.0232,.2711655,-.0002244,.5743968,.4703498,1.516872,2.200819,50436.17,"Florida",.143,1.843,-.1,1.6,-.3790149,1.504489,-1,2,.0675631,1.480557,-.5,2.5,.0005366,1863.615,.6213536,1.417812,0,10,.2802785,1.986334,0,11
"FL","hsp",4,"read",.432,.0234,.2726732,.0082477,.5743968,.4703498,1.516872,2.200819,50436.17,"Florida",.051,1.751,-.1,1.6,-.4413069,1.422306,-1,2,-.0339986,1.435674,-.5,2.5,.0005464,1830.243,.5585436,1.320314,0,10,.2325985,1.844095,0,11
"FL","blk",8,"math",.926,.0279,.4343613,-.0393768,.858373,.7130804,2.486663,3.172801,46498.5,"Florida",.431,2.131,-.1,1.6,.1057694,1.473777,-1,2,.4672487,1.820155,-.5,2.5,.0007798,1282.365,.8620538,1.28495,0,10,.5980427,1.855158,0,11
"FL","blk",8,"read",.746,.0263,.3403541,-.0554658,.858373,.7130804,2.486663,3.172801,46498.5,"Florida",.361,2.061,-.1,1.6,.1607846,1.165672,-1,2,.3933816,1.477607,-.5,2.5,.0006922,1444.608,.6902131,1.108518,0,10,.540767,1.400359,0,11
"FL","hsp",8,"math",.532,.0263,.2603008,.0044798,.5743968,.4703498,1.516872,2.200819,50436.17,"Florida",.167,1.867,-.1,1.6,-.2876797,1.450589,-1,2,.147586,1.40787,-.5,2.5,.0006927,1443.646,.6211048,1.476643,0,10,.319176,1.891673,0,11
"FL","hsp",8,"read",.399,.0285,.3205715,-.0000229,.5743968,.4703498,1.516872,2.200819,50436.17,"Florida",-.022,1.678,-.1,1.6,-.4886567,1.399311,-1,2,-.0144324,1.348337,-.5,2.5,.0008109,1233.138,.5188523,1.316976,0,10,.2017192,1.800016,0,11
"GA","blk",4,"math",.942,.0278,.2984305,.0368039,.8065806,.5327737,2.094007,2.84512,47018.25,"Georgia",.507,2.207,-.1,1.6,.2297721,1.420677,-1,2,.4695542,1.851122,-.5,2.5,.0007731,1293.425,.85237,1.368426,0,10,.6289541,1.821329,0,11
"GA","blk",4,"read",.783,.0277,.240792,.0644297,.8065806,.5327737,2.094007,2.84512,47018.25,"Georgia",.378,2.078,-.1,1.6,.1815398,1.155946,-1,2,.3938085,1.484521,-.5,2.5,.0007673,1303.211,.6717991,1.181764,0,10,.5082991,1.483623,0,11
"GA","hsp",4,"read",.6,.0365,.4997683,-.0507055,.8498499,.9278626,1.451482,2.9933,11640.58,"Georgia",.051,1.751,-.1,1.6,-.4413069,1.422306,-1,2,-.0339986,1.435674,-.5,2.5,.0013348,749.1827,.5585436,1.320314,0,10,.2325985,1.844095,0,11
"GA","hsp",4,"math",.62,.0363,.4816485,-.1044768,.8498499,.9278626,1.451482,2.9933,11640.58,"Georgia",.143,1.843,-.1,1.6,-.3790149,1.504489,-1,2,.0675631,1.480557,-.5,2.5,.0013166,759.509,.6213536,1.417812,0,10,.2802785,1.986334,0,11
"GA","blk",8,"math",.907,.0275,.3644629,.0119118,.8065806,.5327737,2.094007,2.84512,47018.25,"Georgia",.431,2.131,-.1,1.6,.1057694,1.473777,-1,2,.4672487,1.820155,-.5,2.5,.000754,1326.331,.8620538,1.28495,0,10,.5980427,1.855158,0,11
"GA","blk",8,"read",.756,.0245,.2667655,.0280759,.8065806,.5327737,2.094007,2.84512,47018.25,"Georgia",.361,2.061,-.1,1.6,.1607846,1.165672,-1,2,.3933816,1.477607,-.5,2.5,.0006008,1664.512,.6902131,1.108518,0,10,.540767,1.400359,0,11
"GA","hsp",8,"read",.553,.0435,.5421163,-.0669564,.8498499,.9278626,1.451482,2.9933,11640.58,"Georgia",-.022,1.678,-.1,1.6,-.4886567,1.399311,-1,2,-.0144324,1.348337,-.5,2.5,.0018939,528.0057,.5188523,1.316976,0,10,.2017192,1.800016,0,11
"GA","hsp",8,"math",.601,.0413,.4623264,-.1285221,.8498499,.9278626,1.451482,2.9933,11640.58,"Georgia",.167,1.867,-.1,1.6,-.2876797,1.450589,-1,2,.147586,1.40787,-.5,2.5,.0017028,587.2794,.6211048,1.476643,0,10,.319176,1.891673,0,11
"HI","blk",4,"math",.61,.0523,-.0507273,.0543298,-.2374928,-.0322561,1.375567,.4413413,331.8333,"Hawaii",.507,2.207,-.1,1.6,.2297721,1.420677,-1,2,.4695542,1.851122,-.5,2.5,.002732,366.0378,.85237,1.368426,0,10,.6289541,1.821329,0,11
